network_id,pair_id,Location,Site,Management,Treatment,day,moisture,respiration,total_biomass,total_flux,dominant_real_eigenvalue,reactivity,S_full,beta_out_json,beta_in_json,S_het,S_Ftot,S_reconstructed,S_reconstruction_error,beta_norm_converged
Sc_S1_In_C_d0,Sc_S1_In,Sc,S1,In,C,d0,61.2666666666667,0.000428967982356073,461222.2839392742,408.50595279045524,-7.154733943525318e-06,0.11511855006233648,26.422455676547663,"[0.0, 4.766448684115884, 3.9666287612726228, 4.858541145210468, 5.001813139000177, 0.0, 0.006491282531802565, 2.3097183989518526, 7.4330395099963855, 2.8133989416219696, 0.010087916566525777, 0.006055408575439061, 0.007359410702708941]","[2.2770126257457686, 0.6824547558383866, 0.028798531671584606, 0.6539498223067666, 1.2035723660688666, 2.651761600554864, 1.0257993593473597e-08, 0.03893964857941938, 0.12526928287742875, 0.0002042434629126098, 0.0, 0.0, 0.0]",-121.75467736566826,144.30015567620012,22.545478310531863,3.876977366015801,True
Sc_S1_In_D_d0,Sc_S1_In,Sc,S1,In,D,d0,,,1435906.9555668875,436.70897240101425,-2.3522922023643462e-08,0.13556075907562187,25.695367068865792,"[0.0, 19.13772006848505, 18.83119590668286, 22.072231091375517, 26.682578154203046, 0.0, 0.008726403298130559, 1.1276008674020572, 25.943198527323947, 1.4015552942342586, 0.0015980343866613285, 0.0018616967097098292, 0.00621891988735955]","[1.2962518559511524, 0.3485216251385743, 0.05871815437700681, 0.37914874255026515, 1.1470192586639525, 1.1069722478166342, 8.973709267492064e-06, 0.041135355241340946, 0.08662880053039339, 0.003949653800220729, 0.0, 0.0, 0.0]",-120.24959622912216,145.9024081486872,25.652811919565025,0.042555149300767425,True
Sc_S2_Ex_C_d0,Sc_S2_Ex,Sc,S2,Ex,C,d0,60.9666666666667,0.000433531067001293,2044575.9163651455,304.76249323701944,-3.065390379621081e-05,0.06829042290444978,6.861398622339216,"[0.0, 58.28825753635521, 36.744973738671995, 53.293269778142765, 64.64323062156078, 0.0, 0.01658433644182886, 6.29134271419994, 89.70577451068677, 1.148511956742634, 1.0000000000000002e-12, 0.00571191430139776, 0.014728306249032638]","[6.5576420690655235, 1.3303065884111218, 0.062233231195270015, 0.43395866626013163, 1.6732544179648992, 1.2098867121172199, 4.4837465026042914e-10, 0.1351284881119824, 0.11935179995878042, 1.0000000000506202e-12, 0.0, 0.0, 0.0]",-124.55876954080807,137.26878630135468,12.710016760546608,-5.848618138207392,True
Sc_S2_Ex_D_d0,Sc_S2_Ex,Sc,S2,Ex,D,d0,16.9,0.000271579587801354,2048591.3232841974,169.13347376280643,-1.707919207086267e-05,0.10472269539824901,5.602625975236613,"[0.0, 99.91140863471855, 11.15844707845559, 87.7735496257924, 240.3022586443279, 0.0, 7.890541144387961e-08, 5.099769992595129, 36.01661552854936, 2.441744664972261, 1.0000006765127962e-12, 0.014388987618698742, 0.03361206457750218]","[5.676355240717108, 2.354399156375827, 0.05007331889715016, 0.7465937784236254, 2.751771813375742, 1.5576035005150068, 9.132298513622267e-07, 0.18729253247897926, 0.05274779883302831, 1.000000706590274e-12, 0.0, 0.0, 0.0]",-115.08951140484382,123.13651653084708,8.047005126003256,-2.4443791507666432,True
Sc_S2_In_C_d0,Sc_S2_In,Sc,S2,In,C,d0,63.1,0.000377405125865085,1766931.2634996404,308.9467318541666,-7.076983825356524e-06,0.09835969015085236,18.104966255423218,"[0.0, 33.80723328937334, 3.757590011179174, 21.982340028955026, 111.2968947984321, 0.0, 0.003998641099971998, 0.15900491460615687, 92.25777287439627, 1.1398207226990622, 0.0012807133818670575, 0.007318401823399532, 3.7437917487327968e-06]","[1.1737529447402137, 2.4398901444862986, 0.033167988421777254, 0.5235018212552682, 3.0082280337916556, 2.9333469809810957, 0.018368966641772184, 0.03380172340376228, 0.18684402076643938, 0.00011731266292047873, 0.0, 0.0, 0.0]",-117.02067848281555,137.5960529571748,20.57537447435925,-2.470408218936033,True
Sc_S2_In_D_d0,Sc_S2_In,Sc,S2,In,D,d0,31.2333333333333,0.000354931933987375,1821529.0246529728,191.5465696304238,-3.623691563163486e-05,0.09877816518723229,3.5900423075928742,"[0.0, 74.26155870128771, 62.55093626144805, 59.54124551216667, 81.46862807984601, 0.0, 0.12302648163056852, 1.1038902658633865, 99.71849141635722, 5.179722471006271, 0.004775369096138027, 0.013349559707587888, 0.019662273021989838]","[11.470419734784919, 1.8782829001647776, 0.10988320584314523, 0.44177912339701375, 1.465176156283723, 0.5651034410688544, 0.00029178644528450836, 0.047038005814008264, 0.1725360587433749, 9.145492358016213e-05, 0.0, 0.0, 0.0]",-116.8620928914359,126.12314310012209,9.261050208686186,-5.671007901093311,True
Sc_S3_Ex_C_d0,Sc_S3_Ex,Sc,S3,Ex,C,d0,56.5,0.000409841052551525,2476712.7390236934,360.56851388651984,-3.984314225856523e-05,0.10565082653272831,20.023882733449547,"[0.0, 37.58590596862078, 6.406839620514875, 40.698753561672525, 67.83927344848291, 0.0, 0.0353271492613856, 0.6063282849586674, 50.93725138887043, 0.268100917352881, 0.011325107319860108, 0.005344642579690413, 0.019850032834536024]","[5.97951839587816, 0.7976361366619283, 0.017551064984077262, 0.36816952759789806, 1.1757485348303525, 0.8687856760097447, 0.00011365452342276756, 0.05543094702437298, 0.11657602075573964, 0.00016586206039573268, 0.0, 0.0, 0.0]",-118.83757998215893,141.30436778537106,22.466787803212128,-2.442905069762581,True
Sc_S3_Ex_D_d0,Sc_S3_Ex,Sc,S3,Ex,D,d0,10.9,0.000137995284812533,2338140.238147678,137.92147726711846,-2.2399403452704862e-05,0.10267605074388234,11.609299685873834,"[0.0, 20.068631216167937, 2.976888981690277, 30.689655589467495, 104.16171255970521, 0.0, 0.674420139087676, 4.432972041614267, 59.37612886964415, 2.989389640043917, 0.009872158821744121, 0.021966054125076684, 0.03287125265651895]","[3.5705622331055746, 0.003343013887230415, 0.023345259104254102, 0.45915988946342146, 1.913933517027541, 0.49271759636532636, 7.313647344443618e-06, 0.34480906257613253, 0.29910985085069025, 0.005355972352164427, 0.0, 0.0, 0.0]",-103.50252013584011,118.2404284296363,14.737908293796181,-3.128608607922347,True
Sc_S3_In_C_d0,Sc_S3_In,Sc,S3,In,C,d0,62.7,0.000385884858164119,777031.3917632548,669.8744693062788,-1.3693639928328473e-05,0.11421875011619283,19.115140171258574,"[0.0, 7.151741771068636, 6.7841088995707075, 7.304494609379811, 7.439334197674951, 0.0, 1.119793650474459, 0.9248699782982084, 7.271793114114658, 0.27872336875422704, 0.03108194073267204, 0.0018201192427781255, 0.03336881310756374]","[11.536480187190879, 0.7171656259168903, 0.046459816144114416, 0.3353333823166261, 0.41073582550535903, 0.7629756244056932, 0.0008441242356232371, 0.0472824681157915, 0.02987922253666682, 4.2849151174335104e-08, 0.0, 0.0, 0.0]",-144.3336501858324,156.1701680540812,11.83651786824879,7.278622303009783,True
Sc_S3_In_D_d0,Sc_S3_In,Sc,S3,In,D,d0,47.3,0.000360540725530459,1216773.0266387172,799.8769504291707,-6.610753519016379e-05,0.10940616680535746,34.78273824730953,"[0.0, 28.020285318204746, 2.3464276739184338, 19.66926335009516, 0.013088876848531756, 0.0, 3.2811619749110115, 6.175517878233985, 41.98544780972035, 1.0837802496884485, 0.0044075883774104116, 0.003915664269186467, 0.03783582157997957]","[1.2341337893316577, 0.9146474290809794, 0.0074984419050993355, 0.33085240356494344, 0.0021998918513623004, 0.24226514012782752, 0.00018074453091969847, 0.12971292278596805, 0.21878702708181005, 9.226029669328401e-07, 0.0, 0.0, 0.0]",-120.65113810856666,160.42698969297882,39.775851584412166,-4.993113337102635,True
