subset,relationship,c,n_valid,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
control_only,S_full vs dominant_real_eigenvalue,0.0075,29.0,-0.3902546673944029,0.03635384418974733,-0.45172413793103444,0.01389684897328752,-3.7694725542451904e-07,-9.627403909989407e-06,0.15229870542311616
control_only,S_full vs dominant_real_eigenvalue,0.01,29.0,-0.3747685230558049,0.045167142036678876,-0.4142857142857142,0.025460715099270042,-4.637220713290029e-07,-1.3399799103394719e-05,0.1404514458734293
control_only,S_full vs dominant_real_eigenvalue,0.015,28.0,-0.38481918968935386,0.043170185149732775,-0.4236453201970443,0.02467166267231232,-6.768975263813841e-07,-1.9527550536201426e-05,0.14808580875317087
control_only,S_full vs dominant_real_eigenvalue,0.02,27.0,-0.3838604690437685,0.04807713954884778,-0.45054945054945056,0.01835230564554986,-8.947568452676049e-07,-2.48678928659156e-05,0.14734885969450193
control_only,S_full vs dominant_real_eigenvalue,0.03,28.0,-0.3723070041783048,0.05105301084387285,-0.3891625615763547,0.04067218138297284,-1.2397182923103489e-06,-3.4694133544167346e-05,0.13861250536022432
control_only,S_full vs dominant_real_eigenvalue,0.05,29.0,-0.3782961344705666,0.04302373254949384,-0.38325123152709356,0.040150701713206775,-2.0456471352836776e-06,-4.6657904014782883e-05,0.143107965355373
control_only,S_full vs reactivity,0.001,28.0,0.5674790427442814,0.0016358971693871622,0.5626710454296661,0.0018276525021914,0.0006002389155814515,0.14002885017313524,0.32203246395396623
control_only,S_full vs reactivity,0.0025,29.0,0.7095972358113093,1.629496211589261e-05,0.6788177339901476,5.164831416942365e-05,0.0007333494910717448,0.1268576463116446,0.5035282370710509
control_only,S_full vs reactivity,0.005,28.0,0.5695138726218792,0.0015601406339962878,0.5117679255610289,0.0053733948986962755,0.0005985727797112779,0.11692603146838687,0.32434605110876985
control_only,S_full vs reactivity,0.0075,29.0,0.5673093444949832,0.0013303361941190525,0.5231527093596058,0.0035910372461089093,0.0007255511709035752,0.10184709807252361,0.32183989235132787
control_only,S_full vs reactivity,0.01,29.0,0.4753341861508452,0.009162729474463999,0.41576354679802946,0.024889235015277397,0.0006869454565504488,0.09344632134164098,0.22594258852368632
control_only,S_full vs reactivity,0.015,28.0,0.46065531505475965,0.013628242356432296,0.3842364532019705,0.04351441292729121,0.0007466694606456204,0.07668794916917146,0.21220331928819997
control_only,S_full vs reactivity,0.02,27.0,0.41749837049215466,0.030250853155433532,0.358974358974359,0.06593577263327197,0.0007353428163179584,0.06603976961947652,0.17430488936360444
control_only,S_full vs reactivity,0.03,28.0,0.41739732218419384,0.02710886782960129,0.348111658456486,0.06947653701825968,0.0007740090745856185,0.04747098605353464,0.17422052456653572
control_only,S_full vs reactivity,0.05,29.0,0.4221550039376344,0.02253692190809883,0.37684729064039396,0.04389403567904558,0.0008441728574485317,0.02526432206972694,0.17821484734958415
