c,network_id,pair_id,Location,Site,Management,Treatment,total_flux,S_full,S_het,S_Ftot,dominant_real_eigenvalue,reactivity
0.005,Yo_S4_Ex_D_d0,Yo_S4_Ex,Yo,S4,Ex,D,463.80238519424745,34.48554339870409,-108.59980571318074,147.3470056207138,-2.1851056089833663e-05,0.13051690473071084
0.005,Yo_S4_In_C_d0,Yo_S4_In,Yo,S4,In,C,733.295312997044,41.053515250552636,-113.47558735521812,158.34116408210713,-3.4034269122206894e-05,0.14530192107138962
0.005,Yo_S4_In_D_d0,Yo_S4_In,Yo,S4,In,D,431.34544978302716,31.424753156211807,-114.03921477159234,145.60582264044672,-4.761870853411342e-05,0.14084466882665925
0.005,Yo_S5_Ex_C_d0,Yo_S5_Ex,Yo,S5,Ex,C,1102.9342119869184,45.96087271868788,-119.63090913553712,168.13750494857305,-1.762443801075371e-05,0.15820176713938083
0.005,Yo_S5_Ex_D_d0,Yo_S5_Ex,Yo,S5,Ex,D,669.0752231500686,48.893451231287415,-108.48221599517444,156.14151587971588,-4.625044713125694e-06,0.15597370402456506
0.005,Yo_S5_In_C_d0,Yo_S5_In,Yo,S5,In,C,697.1827783183587,39.38085405956116,-113.56431358806951,157.1291426912067,-3.109071358185986e-05,0.13267128561948563
0.005,Yo_S5_In_D_d0,Yo_S5_In,Yo,S5,In,D,744.2600864540527,49.73027592589146,-107.31179139404712,158.6973732554884,-6.34084890904781e-05,0.1395913972501248
0.0075,De_S1_Ex_C_d0,De_S1_Ex,De,S1,Ex,C,482.015897567031,44.37073500894394,-96.19899715302019,148.2714503042617,-4.0651544535331954e-05,0.14161386638590956
0.0075,De_S1_Ex_D_d0,De_S1_Ex,De,S1,Ex,D,386.7665419602208,43.67317605514246,-97.29230636545093,142.98771024604935,-4.6251537263166486e-05,0.13442923072829518
0.0075,De_S1_In_C_d0,De_S1_In,De,S1,In,C,638.7888993355135,35.8307314868882,-116.32783460236382,155.02977693165693,-1.943118234201502e-05,0.14997474674950606
0.0075,De_S1_In_D_d0,De_S1_In,De,S1,In,D,924.6432807350545,50.28590116545273,-113.93430382599493,163.90579249643193,-4.739381601632699e-05,0.15018153782081406
0.0075,De_S2_Ex_C_d0,De_S2_Ex,De,S2,Ex,C,1152.0324932636836,51.891360341246234,-112.51728977507462,169.18279312358675,-2.9047187439940717e-05,0.126110851702607
0.0075,De_S2_Ex_D_d0,De_S2_Ex,De,S2,Ex,D,782.5759261960579,57.45972460924398,-102.49821709123233,159.90218275175224,-2.9346653637627442e-05,0.13937207469437607
0.0075,De_S2_In_C_d0,De_S2_In,De,S2,In,C,755.1878930310971,41.10067889983881,-115.26966011669923,159.04719799749915,-1.3680545756331543e-05,0.1324681840342777
0.0075,De_S2_In_D_d0,De_S2_In,De,S2,In,D,695.7928707237318,39.33443321542045,-113.27724215617147,157.0812483961925,-1.3884748008312474e-05,0.14375268280699327
0.0075,De_S3_Ex_C_d0,De_S3_Ex,De,S3,Ex,C,1235.6956988300656,43.88984747219668,-123.90090291381712,170.86534582435903,-2.305657729213619e-05,0.10698086134906823
0.0075,De_S3_Ex_D_d0,De_S3_Ex,De,S3,Ex,D,885.7782632909718,46.97371627319695,-113.80456708580395,162.87519965080998,-7.724982870224506e-05,0.12805951447402802
0.0075,De_S3_In_C_d0,De_S3_In,De,S3,In,C,1118.6702372282068,41.76361099085824,-122.8613878653153,168.47750329716075,-6.934087543234537e-06,0.14991525301566377
0.0075,De_S3_In_D_d0,De_S3_In,De,S3,In,D,1788.5163033648569,40.07643208125239,-126.2885376562375,179.73940018371383,-6.3967684858239295e-06,0.1404908969838254
0.0075,De_S4_Ex_C_d0,De_S4_Ex,De,S4,Ex,C,883.4703923061672,44.18823558868546,-116.52647411080824,162.81258670505377,-3.414292045599175e-05,0.11541035591981116
0.0075,De_S4_Ex_D_d0,De_S4_Ex,De,S4,Ex,D,1168.2593343380272,62.29434228084011,-103.9101695478607,169.51848411758846,-0.00019478698512082198,0.10882011820304043
0.0075,De_S4_In_C_d0,De_S4_In,De,S4,In,C,859.6931345591483,35.20161645834218,-125.968438121697,162.15781212700773,-6.99700469533598e-06,0.13168517650660466
0.0075,De_S4_In_D_d0,De_S4_In,De,S4,In,D,975.2168211342363,49.86402334889371,-117.25932824517211,165.18383584621043,-5.550843473510877e-06,0.14472176804808015
0.0075,De_S5_Ex_C_d0,De_S5_Ex,De,S5,Ex,C,953.7488524781228,39.87445495938277,-124.28428589970797,164.64960910630862,-2.1439719191125e-05,0.1297762341888717
0.0075,De_S5_Ex_D_d0,De_S5_Ex,De,S5,Ex,D,739.9795088769532,48.29002666351175,-106.83581622797888,158.55893988259203,-2.96877656465198e-05,0.13508408538141342
0.0075,De_S5_In_C_d0,De_S5_In,De,S5,In,C,420.92325845712844,19.201330062890584,-123.91552828462176,145.01881279480392,-1.4211437394990032e-05,0.11608444543429182
0.0075,De_S5_In_D_d0,De_S5_In,De,S5,In,D,687.1044286313311,46.67296277844623,-111.27685512380933,156.77967089788513,-2.376493355402698e-05,0.14977902872037677
0.0075,Sc_S1_Ex_C_d0,Sc_S1_Ex,Sc,S1,Ex,C,400.2432825376934,13.959563400209833,-126.01388530978059,143.80974164567274,-1.9054303676583518e-05,0.11885984876549979
0.0075,Sc_S1_Ex_D_d0,Sc_S1_Ex,Sc,S1,Ex,D,257.95002809977603,2.2172192269804043,-121.05227561048596,133.26638103901502,-1.662664377386476e-05,0.10676086336114872
0.0075,Sc_S1_In_C_d0,Sc_S1_In,Sc,S1,In,C,397.0613155668274,26.317568971785246,-121.42662347430189,143.61817718479304,-5.413469810594542e-06,0.12217533693718863
0.0075,Sc_S1_In_D_d0,Sc_S1_In,Sc,S1,In,D,423.7964914893482,23.697543298807947,-119.99672293030592,145.1820808105347,-1.5803920191124727e-08,0.1202876379161337
0.0075,Sc_S2_Ex_C_d0,Sc_S2_Ex,Sc,S2,Ex,C,298.3922364560776,4.949983009222599,-125.15492888356131,136.76181241806734,-2.2994658957799693e-05,0.08108018522272752
0.0075,Sc_S2_Ex_D_d0,Sc_S2_Ex,Sc,S2,Ex,D,167.81789785848673,5.694380634332713,-114.91775714067352,122.94910680469135,-1.2831919035065455e-05,0.11604282580630342
0.0075,Sc_S2_In_C_d0,Sc_S2_In,Sc,S2,In,C,301.8594199902334,17.680759837235556,-115.2986108739816,137.0390738946373,-5.309961624188596e-06,0.10904011121028495
0.0075,Sc_S2_In_D_d0,Sc_S2_In,Sc,S2,In,D,188.188674161418,3.152461266354358,-116.60081367056908,125.69868109294134,-2.7187151421710456e-05,0.10960361107055817
0.0075,Sc_S3_Ex_C_d0,Sc_S3_Ex,Sc,S3,Ex,C,353.3326404438239,19.861401795708534,-118.45015629698702,140.81783849827283,-3.0018168702573168e-05,0.11461605508225205
0.0075,Sc_S3_Ex_D_d0,Sc_S3_Ex,Sc,S3,Ex,D,137.14369590520974,11.643414287902992,-105.65633828907892,118.1047020327205,-1.6820022836746442e-05,0.11468213540485571
0.0075,Sc_S3_In_C_d0,Sc_S3_In,Sc,S3,In,C,636.4949131583278,18.797847766466006,-140.40401031512528,154.9434342256736,-1.047130277007742e-05,0.12095816694393297
0.0075,Sc_S3_In_D_d0,Sc_S3_In,Sc,S3,In,D,769.8102865689594,34.42065643092188,-119.87877897879991,159.50745848187967,-6.048717564927782e-05,0.11836043019397664
0.0075,Sc_S4_Ex_C_d0,Sc_S4_Ex,Sc,S4,Ex,C,175.4295351724709,11.850162154376328,-111.48883648456847,124.01369887898002,-4.410245007905432e-06,0.11459004306494765
0.0075,Sc_S4_Ex_D_d0,Sc_S4_Ex,Sc,S4,Ex,D,278.58207927061005,34.034628096985344,-99.07628005229785,135.11310564121726,-2.5810874381744555e-05,0.12326922601596423
0.0075,Sc_S4_In_C_d0,Sc_S4_In,Sc,S4,In,C,525.3729264778766,18.14964153643405,-127.00597939471743,150.33860031769555,-7.0194267215584225e-06,0.09556688272267119
0.0075,Sc_S4_In_D_d0,Sc_S4_In,Sc,S4,In,D,274.5112064270883,15.319895074137076,-112.63782804154594,134.75981003969446,-2.872061095895964e-05,0.09921687662465563
0.0075,Sc_S5_Ex_C_d0,Sc_S5_Ex,Sc,S5,Ex,C,287.8539489915223,7.4628123996916,-120.9769565041314,135.89887751877853,-2.613567376803761e-05,0.1243301393184719
0.0075,Sc_S5_Ex_D_d0,Sc_S5_Ex,Sc,S5,Ex,D,334.42714974108196,11.83092617835625,-127.1734160139761,139.4980576159674,-1.0186737131503954e-05,0.1256814889180536
0.0075,Sc_S5_In_C_d0,Sc_S5_In,Sc,S5,In,C,1178.336901256205,33.52308806771366,-130.33326003722405,169.72462362235635,-1.295009121289208e-05,0.11500205357713675
0.0075,Sc_S5_In_D_d0,Sc_S5_In,Sc,S5,In,D,745.8360319391599,45.15929322239302,-112.03399506874064,158.7481387132033,-2.951675646073387e-05,0.11933818314807354
