network_id,pair_id,Location,Site,Management,Treatment,S_full,S_het,S_Ftot,alpha_to_max_flux,total_flux,dominant_real_eigenvalue,reactivity
Sc_S3_Ex_C_d0,Sc_S3_Ex,Sc,S3,Ex,C,19.155425700320997,59.4094519404115,40.254026240090504,5.357561760677117,360.5714744213637,-3.984320921391356e-05,0.10565075064045472
Sc_S3_Ex_D_d0,Sc_S3_Ex,Sc,S3,Ex,D,11.346553171503885,74.69108826043396,63.34453508893007,14.006404090419483,137.92147726711846,-2.2399403452704862e-05,0.10267605074388234
Sc_S3_In_C_d0,Sc_S3_In,Sc,S3,In,C,19.12516150629255,55.16843461254614,36.043273106253594,2.883794079324576,669.8758268493691,-1.3693630645413489e-05,0.11421889233208203
Sc_S3_In_D_d0,Sc_S3_In,Sc,S3,In,D,33.13436283859137,54.9972921631907,21.862929324599328,2.41510140067716,799.8769504291707,-6.610753519016379e-05,0.10940616680535746
Sc_S4_Ex_C_d0,Sc_S4_Ex,Sc,S4,Ex,C,10.257888586767967,67.81246861697328,57.55458003020531,10.916270217302783,176.9637343979357,-5.86165840376736e-06,0.10494177230635648
Sc_S4_Ex_D_d0,Sc_S4_Ex,Sc,S4,Ex,D,34.180038089950095,80.3721659603832,46.192127870433104,6.8529622894028694,281.89035073753354,-3.427043053886566e-05,0.11232612107437077
Sc_S4_In_C_d0,Sc_S4_In,Sc,S4,In,C,17.20319054621531,48.073429464178986,30.870238917963675,3.545549542489054,544.8475392039539,-9.034407913372476e-06,0.08333967191576623
Sc_S4_In_D_d0,Sc_S4_In,Sc,S4,In,D,16.07049893684831,61.810746278891806,45.740247342043496,6.934741563339805,278.56610454860396,-3.813702510763179e-05,0.0865644472932105
Sc_S5_Ex_C_d0,Sc_S5_Ex,Sc,S5,Ex,C,7.608282016125216,52.398406078827215,44.790124062702,6.565447488271046,294.23492409343515,-3.47927302125835e-05,0.11872958585776736
Sc_S5_Ex_D_d0,Sc_S5_Ex,Sc,S5,Ex,D,11.966908015600467,48.56571012337581,36.59880210777534,5.646070038708225,342.14664892694856,-1.3471226882627047e-05,0.11816175003915093
Sc_S5_In_C_d0,Sc_S5_In,Sc,S5,In,C,39.110059937558766,43.12935319952198,4.019293261963213,1.5264762400812903,1265.5185142272449,-1.6942445008188575e-05,0.10634907643557928
Sc_S5_In_D_d0,Sc_S5_In,Sc,S5,In,D,45.945994556103386,67.5606451678656,21.614650611762215,2.5052433472935016,771.0963270046548,-3.932744590542142e-05,0.1101992137964986
Yo_S1_Ex_C_d0,Yo_S1_Ex,Yo,S1,Ex,C,29.30941518469266,58.09109068598073,28.78167550128807,3.483249880822465,554.5924092286864,-2.142994555730125e-05,0.10752708582057123
Yo_S1_Ex_D_d0,Yo_S1_Ex,Yo,S1,Ex,D,38.139002502142844,69.44767729568346,31.308674793540618,3.6026435011014764,536.2129066504193,-3.530410470065608e-05,0.10470981629667471
Yo_S1_In_C_d0,Yo_S1_In,Yo,S1,In,C,26.55000200566013,66.75651999224893,40.20651798658879,5.40017776753198,357.7259909785786,-2.131601115982622e-05,0.10477851638973869
Yo_S1_In_D_d0,Yo_S1_In,Yo,S1,In,D,40.35421205079349,70.44524025942776,30.09102820863427,3.431356428891335,562.9796797224651,-5.136081933200697e-05,0.11071258151673678
Yo_S2_Ex_C_d0,Yo_S2_Ex,Yo,S2,Ex,C,22.865487466541982,57.24436222239591,34.37887475585393,4.180004359377141,462.14878676316005,-4.359099716927028e-05,0.1338016805961358
Yo_S2_Ex_D_d0,Yo_S2_Ex,Yo,S2,Ex,D,33.25653529710836,72.23132581391154,38.97479051680318,5.006089981769962,385.8867799791048,-4.312357910048861e-05,0.12704017466890422
Yo_S2_In_C_d0,Yo_S2_In,Yo,S2,In,C,22.366481243930046,60.88745469559622,38.52097345166617,5.026654068109717,384.3081137424117,-3.056344619170443e-05,0.12820280410187168
Yo_S2_In_D_d0,Yo_S2_In,Yo,S2,In,D,26.547781400235625,76.6137750512984,50.06599365106278,8.049311324255617,239.99369207272062,-4.083572125355625e-05,0.1338395425961665
Yo_S3_Ex_C_d0,Yo_S3_Ex,Yo,S3,Ex,C,34.200303303095836,58.96459075446783,24.76428745137199,4.075190895241517,474.0352030150426,-1.537926282968459e-05,0.0963638543557028
Yo_S3_Ex_D_d0,Yo_S3_Ex,Yo,S3,Ex,D,54.199930090778786,76.93211356272181,22.732183471943024,2.5892087198833624,746.090467143911,-5.8556289915094366e-05,0.10882395614234264
Yo_S3_In_D_d0,Yo_S3_In,Yo,S3,In,D,31.705940153436423,70.85899962519096,39.15305947175454,5.074418743926578,380.6906841621932,-9.689553721729234e-05,0.1214845665901345
Yo_S4_Ex_C_d0,Yo_S4_Ex,Yo,S4,Ex,C,42.22967656194194,69.96148001284664,27.731803450904692,3.109486468007484,621.254976738563,-4.55680412147107e-05,0.1262872393620827
Yo_S4_Ex_D_d0,Yo_S4_Ex,Yo,S4,Ex,D,34.58018598625789,67.75765705580395,33.17747106954606,3.9863261995821153,484.60257556277605,-4.368027272953557e-05,0.10538875541826699
Yo_S4_In_C_d0,Yo_S4_In,Yo,S4,In,C,42.16744283250284,64.01818458758923,21.85074175508639,2.443734910253694,790.5047046000252,-6.61105523070063e-05,0.1406981158231279
Yo_S4_In_D_d0,Yo_S4_In,Yo,S4,In,D,32.76085237590616,67.68156141910957,34.92070904320341,4.245357466108631,455.0344602951828,-8.972821089230073e-05,0.12694509232920775
